# R1_recomputed_rerun_9mer_dai_effN10.csv —— §3.1 图1 修正重算 (effN 门槛)
# 输入=pooled_dai_rerun_9mer.csv; DS2 9 患者; Elispot 连续 SFC; headline 零选择 <tool>_max
# fisherz_rho_effN=等权 Fisher-z (门槛改用有效覆盖 effN>=10, 非患者总行数 len(g))
# ci_*=cluster-bootstrap over 通过门槛患者 95%CI (n_boot=2000, seed=42, 2.5/97.5)
# n_full=effN>=10 的患者数; n_dropped_effN=2<=effN<10 被剔患者数 (原 bug 伪迹来源)
# coverage_fail=(n_full<3): 通过门槛患者不足 3 → 不入主排序; 排序: coverage_fail 后置 + rho 降序
# pending_DTU=True 为 DTU 受限工具 (结果照常算, 部署受 DTU 同意约束)
# rho_p<id>=各患者 per-patient rho (与 canonical spearman_np 可比); effN_p<id>=各患者有效覆盖点数
Tool,pending_DTU,fisherz_rho_effN,ci_lo,ci_hi,n_full,min_effN,max_effN,n_dropped_effN,coverage_fail,rho_p101,rho_p102,rho_p104,rho_p105,rho_p106,rho_p107,rho_p108,rho_p109,rho_p110,effN_p101,effN_p102,effN_p104,effN_p105,effN_p106,effN_p107,effN_p108,effN_p109,effN_p110
PredIG,False,0.31378824188852183,0.042009542076731986,0.5111219438827772,6,10.0,16.0,3,False,0.45188680072809045,0.6,0.510451353989447,0.4878420175045636,0.4065934065934066,0.40476190476190477,-0.15061319069274443,-0.10462776733243281,0.5896593227119473,9,6,14,16,13,8,12,10,14
MHCflurry,False,0.15269349972565513,-0.08208416460539307,0.43437315936723686,6,10.0,16.0,3,False,-0.2712254014483242,0.14285714285714285,-0.24202434887430677,0.02210764429778989,0.12087912087912088,0.38095238095238093,0.6760080419465041,0.26464670560556536,-0.06600664060208367,9,6,14,16,13,8,12,10,14
PRIME,False,0.14618046171326501,-0.07123403973078307,0.35812928313377707,6,10.0,16.0,3,False,-0.32208016421988495,0.08571428571428572,0.5566560024109055,-0.04568913154876577,0.14285714285714285,0.023809523809523808,-0.1926447787930452,0.338501600193165,0.0,9,6,14,16,13,8,12,10,14
IEDB_Calis,False,0.1022332043984355,-0.14675484373120898,0.38157636489437813,6,10.0,16.0,3,False,0.7074749701108396,0.02857142857142857,-0.2599221495169733,0.28907251484432317,-0.1879067676847756,0.8455943246644705,0.3411576789889338,0.5753922836133599,-0.23243488125919057,9,6,14,16,13,8,12,10,14
Repitope,False,0.07207426083419155,-0.01754917962390192,0.1583324886301876,6,10.0,16.0,3,False,0.8984341422975738,0.14285714285714285,0.19801992180625097,0.20191648458648098,0.15934065934065933,0.6666666666666666,-0.017513161708458656,-0.08000946913656627,-0.03520354165444462,9,6,14,16,13,8,12,10,14
netMHCpan_EL,True,0.06787445136837707,-0.07456529896163722,0.15445082518897685,6,10.0,16.0,3,False,-0.6780635036208105,-0.5428571428571428,0.10561062496333386,0.08990442014434555,0.18784817083734218,0.23809523809523808,0.1366026613259775,-0.26464670560556536,0.1540154947381952,9,6,14,16,13,8,12,10,14
netMHCpan_BA,True,0.03917044643317749,-0.08193265766595334,0.19651247683739878,6,10.0,16.0,3,False,-0.5424508028966484,0.4857142857142857,-0.03520354165444462,-0.1193812792080654,0.1043956043956044,0.5,0.38178692524439867,-0.006154574548966636,-0.11001106767013943,9,6,14,16,13,8,12,10,14
MUNIS,False,0.030032777137991483,-0.19139487539662692,0.334071989446623,6,10.0,16.0,3,False,-0.1356127007241621,0.14285714285714285,-0.04840486977486135,-0.01621227248504592,-0.12637362637362637,0.16666666666666666,0.6269711891628199,0.01846372364689991,-0.36523674466486294,9,6,14,16,13,8,12,10,14
ImmuneApp,False,0.028126762049813504,-0.23136214347617431,0.356669384060654,6,10.0,16.0,3,False,-0.1356127007241621,-0.2571428571428571,0.002200221353402789,-0.3463530939987083,0.13736263736263737,-0.35714285714285715,0.6619975125797372,-0.1538643637241659,-0.24642479158111233,9,6,14,16,13,8,12,10,14
TSCAPE,True,0.02576846890762588,-0.21820361612464256,0.2287584107541164,6,10.0,16.0,3,False,0.44074127735352675,-0.02857142857142857,0.10561062496333386,-0.22549797183745687,0.3626373626373626,0.11904761904761904,0.19965004347642867,-0.43697479297663117,0.16281638015180636,9,6,14,16,13,8,12,10,14
andy90,False,0.007827699490525556,-0.09279567037022027,0.10722827838046213,6,10.0,16.0,3,False,-0.10170952554312156,-0.2571428571428571,-0.12981305985076452,-0.1606488818972732,0.03296703296703297,-0.35714285714285715,0.12959739664259406,-0.006154574548966636,0.18041815097902866,9,6,14,16,13,8,12,10,14
DeepImmuno,False,-0.011557310173085363,-0.1811612418366409,0.1494183302114262,6,10.0,16.0,3,False,-0.3051285766293647,-0.7142857142857143,-0.0968097395497227,-0.3404577221859643,-0.12637362637362637,-0.23809523809523808,0.24168163157672945,0.21541010921383227,0.044004427068055775,9,6,14,16,13,8,12,10,14
BigMHC_IM,False,-0.02978606045971954,-0.2147793513278765,0.1711777787874827,6,10.0,16.0,3,False,0.3051285766293647,0.2571428571428571,-0.24642479158111233,-0.19012574096099305,-0.18681318681318682,0.7380952380952381,0.31873954309394753,0.338501600193165,-0.22442257804708446,9,6,14,16,13,8,12,10,14
DeepNetBim,False,-0.05576529340556152,-0.41818131750975984,0.30524223031596437,6,10.0,16.0,3,False,-0.18646746349572288,0.6,0.3608363019580573,0.2566382847296971,-0.18681318681318682,0.2619047619047619,-0.6339764538462034,0.4862113893683643,-0.5148517966962526,9,6,14,16,13,8,12,10,14
ImmuGenX,False,-0.06341973410855085,-0.21927247683966591,0.09575942975748143,6,10.0,16.0,3,False,-0.15256428831468236,0.6,0.08580863278270875,-0.30213780540312846,0.06043956043956044,0.5238095238095238,0.24168163157672945,-0.27695585470349865,-0.1760177082722231,9,6,14,16,13,8,12,10,14
netMHCstabpan,True,-0.06772699130473454,-0.24562894735582547,0.10111692322197793,6,10.0,16.0,3,False,-0.6950150912113306,0.42857142857142855,-0.15181527338479242,-0.41709755575163593,0.22527472527472528,0.14285714285714285,0.1716289847428948,-0.1538643637241659,-0.057205755188472505,9,6,14,16,13,8,12,10,14
Seq2Neo,True,-0.07738118181937817,-0.37856467225679846,0.3310865609827664,6,10.0,16.0,3,False,-0.2034190510862431,0.02857142857142857,-0.5060509112826413,0.7236568900143223,-0.11538461538461539,0.6904761904761905,-0.47986063081176716,-0.10462776733243281,-0.0792079687225004,9,6,14,16,13,8,12,10,14
MHCseqNet,False,-0.10981786841284534,-0.26828131843758835,0.11612118084134555,6,10.0,16.0,3,False,-0.2542738138578039,0.37142857142857144,-0.07040708330888924,-0.25497483090117673,-0.2087912087912088,0.35714285714285715,0.416813248661316,-0.338501600193165,-0.20682080721986212,9,6,14,16,13,8,12,10,14
HLAthena,False,-0.18703455372816344,-0.3705206391789064,0.06129544318179068,6,10.0,16.0,3,False,-0.06780635036208105,-0.37142857142857144,-0.07480752601569482,-0.17243962552276113,-0.37362637362637363,0.40476190476190477,0.35376586651086483,-0.338501600193165,-0.4708473696281968,9,6,14,16,13,8,12,10,14
NeoTImmuML,False,-0.1988347468281537,-0.3318232711316146,-0.07977555821568101,6,10.0,16.0,3,False,0.06780635036208105,-0.02857142857142857,-0.10781084631673665,-0.4557541952958413,0.013755171197018237,0.0,-0.22767110220996253,-0.12924606552829937,-0.2552256769947235,9,6,14,16,13,8,12,10,14
deepHLApan,False,-0.2014738530148707,-0.43257460452782853,0.045311082667914254,6,10.0,16.0,3,False,0.2034190510862431,-0.08571428571428572,0.1584159374450008,0.16359656780364518,0.12637362637362637,0.09523809523809523,-0.4658501014450002,-0.5600662839559639,-0.49284958316222466,9,6,14,16,13,8,12,10,14
MHCnuggets,False,-0.21826053380777666,-0.42503426701678776,0.0021032058785579134,6,10.0,16.0,3,False,0.4068381021724862,0.4857142857142857,-0.26182634105493185,-0.3257192926541044,-0.19230769230769232,0.6428571428571429,0.24168163157672945,-0.5969937312497637,-0.08800885413611155,9,6,14,16,13,8,12,10,14
NetTepi,True,-0.23219651246630305,-0.4146942338599721,-0.06863078091095938,6,10.0,16.0,3,False,0.32347748168832446,0.08571428571428572,-0.11674008810572688,-0.5834621540260001,-0.17056412284302613,0.6190476190476191,-0.035087935291125194,-0.3877381965848981,-0.01760177082722231,9,6,14,16,13,8,12,10,14
TransHLA,False,-0.2485888995874784,-0.316536185201811,-0.16855883923566722,6,10.0,16.0,3,False,-0.2034190510862431,0.5428571428571428,-0.3586360806046546,-0.11348590739532143,-0.3218710060102268,0.40476190476190477,-0.15061319069274443,-0.2400284074096988,-0.29482966135597366,9,6,14,16,13,8,12,10,14
CNNeo,False,-0.38898466643559937,-0.5186294166776171,-0.277431748002323,6,10.0,16.0,3,False,-0.7746434429904613,-0.550782483869826,-0.3428888522863071,-0.22387697598924383,-0.43956043956043955,0.7065994945288229,-0.65506972011172,-0.3015741528993652,-0.3017628465602199,9,6,14,16,13,8,12,10,14
ICERFIRE,True,,,,0,,,0,True,,,,,,,,,,0,0,0,0,0,0,0,0,0
IMPROVE,False,,,,0,,,0,True,,,,,,,,,,0,0,0,0,0,0,0,0,0
NeoaG,False,,,,0,,,0,True,,,,,,,,,,0,0,0,0,0,0,0,0,0
NeoaPred,False,,,,0,,,0,True,,,,,,,,,,0,0,0,0,0,0,0,0,0
pTuneos,False,,,,0,,,0,True,,,,,,,,,,0,0,0,0,0,0,0,0,0
