Patient_ID,Dataset,n_pep,rho,rho_z,in_main_analysis,note
1,DS1,13,-0.428571,-0.458145,False,DS1: sensitivity only
2,DS1,15,-0.432143,-0.462529,False,DS1: sensitivity only
3,DS1,8,0.142857,0.143841,False,DS1: sensitivity only
4,DS1,8,0.538932,0.602649,False,DS1: sensitivity only
5,DS1,15,0.389286,0.410958,False,DS1: sensitivity only
6,DS1,23,0.098814,0.099138,False,DS1: sensitivity only
101,DS2,9,-0.35,-0.365444,True,
102,DS2,6,-0.085714,-0.085925,True,
104,DS2,14,0.0044,0.0044,True,
105,DS2,16,-0.591176,-0.679473,True,
106,DS2,13,-0.357143,-0.373607,True,
107,DS2,8,-0.214286,-0.217659,True,
108,DS2,12,0.112084,0.112557,True,
109,DS2,10,-0.054545,-0.0546,True,
110,DS2,13,-0.445055,-0.478517,True,
